Title, Content, time for action, time from start 
'<b>ssp-ci-smtp-server_QS 3/Connectors</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-smtp-server_QS 3/Connectors</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-smtp-server_QS 3</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-smtp-server_QS 3</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-smtp-server_QS 3/Network Interfaces</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-smtp-server_QS 3/Network Interfaces</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
Reservation message: 'ssp-ci-cluster-olinux - Deployment started',Reservation message: 'ssp-ci-cluster-olinux - Deployment started',0:0,0:0
Reservation message: 'ssp-ci-win2008 - Deployment started',Reservation message: 'ssp-ci-win2008 - Deployment started',0:0,0:0
Reservation message: 'ssp-ci-lnx1 - Deployment started',Reservation message: 'ssp-ci-lnx1 - Deployment started',0:0,0:0
Reservation message: 'ssp-ci-vpagent_outside2 - Deployment started',Reservation message: 'ssp-ci-vpagent_outside2 - Deployment started',0:0,0:0
Reservation message: 'ssp-ci-cluster-ilinux - Deployment started',Reservation message: 'ssp-ci-cluster-ilinux - Deployment started',0:0,0:0
Reservation message: 'ssp-ci-cluster-mlinux - Deployment started',Reservation message: 'ssp-ci-cluster-mlinux - Deployment started',0:0,0:0
Reservation message: 'ssp-ci-opagent-master - Deployment started',Reservation message: 'ssp-ci-opagent-master - Deployment started',0:0,0:0
'<b>TB5-suma-mnt-olinux_QS 3/Network Interfaces/Network adapter 1</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>TB5-suma-mnt-olinux_QS 3/Network Interfaces/Network adapter 1</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>TB5-suma-mnt-olinux_QS 3/Network Interfaces</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>TB5-suma-mnt-olinux_QS 3/Network Interfaces</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>TB5-suma-mnt-olinux_QS 3/Network Interfaces/Network adapter 2</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>TB5-suma-mnt-olinux_QS 3/Network Interfaces/Network adapter 2</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>TB5-suma-mnt-olinux_QS 3</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>TB5-suma-mnt-olinux_QS 3</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>TB5-suma-mnt-olinux_QS 3/Connectors</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>TB5-suma-mnt-olinux_QS 3/Connectors</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>TB5-suma-mnt-olinux_QS 3/Network Interfaces/Network adapter 3</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>TB5-suma-mnt-olinux_QS 3/Network Interfaces/Network adapter 3</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
Reservation message: 'ssp-ci-acs - Deployment started',Reservation message: 'ssp-ci-acs - Deployment started',0:0,0:0
'<b>ssp-ci-lnx2_QS 4/Network Interfaces/Network adapter 4</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-lnx2_QS 4/Network Interfaces/Network adapter 4</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-lnx2_QS 4/Connectors</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-lnx2_QS 4/Connectors</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-lnx2_QS 4/Network Interfaces/Network adapter 3</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-lnx2_QS 4/Network Interfaces/Network adapter 3</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-lnx2_QS 4/Network Interfaces/Network adapter 5</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-lnx2_QS 4/Network Interfaces/Network adapter 5</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-lnx2_QS 4/Network Interfaces/Network adapter 6</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-lnx2_QS 4/Network Interfaces/Network adapter 6</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-lnx2_QS 4</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-lnx2_QS 4</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-lnx2_QS 4/Network Interfaces/Network adapter 1</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-lnx2_QS 4/Network Interfaces/Network adapter 1</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-lnx2_QS 4/Network Interfaces/Network adapter 2</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-lnx2_QS 4/Network Interfaces/Network adapter 2</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-lnx2_QS 4/Network Interfaces</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-lnx2_QS 4/Network Interfaces</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-ipagent-master_QS 4/Network Interfaces/Network adapter 1</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-ipagent-master_QS 4/Network Interfaces/Network adapter 1</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-ipagent-master_QS 4</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-ipagent-master_QS 4</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-ipagent-master_QS 4/Network Interfaces</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-ipagent-master_QS 4/Network Interfaces</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-ipagent-master_QS 4/Network Interfaces/Network adapter 3</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-ipagent-master_QS 4/Network Interfaces/Network adapter 3</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-ipagent-master_QS 4/Connectors</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-ipagent-master_QS 4/Connectors</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-ipagent-master_QS 4/Network Interfaces/Network adapter 2</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-ipagent-master_QS 4/Network Interfaces/Network adapter 2</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-win2008_QS 3/Connectors</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-win2008_QS 3/Connectors</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-win2008_QS 3/Network Interfaces/Network adapter 1</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-win2008_QS 3/Network Interfaces/Network adapter 1</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-win2008_QS 3</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-win2008_QS 3</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
